K;0.5;0.75;1;1.25;1.5;1.75;2;2.25;2.5;2.75;3;3.25;3.5;3.75;4;4.25;4.5;4.75;5;5.25;5.5
0.28;1.272965676;1.49758;1.65343;2.0661;2.53595;2.74056;2.89652;3.29432;3.73234;3.92644;4.0813;4.47222;4.89552;5.082962391;5.236799368;5.623566356;6.038017505;6.220779928;6.373754775;6.757679288;7.166096135
0.29;1.237874356;1.46566;1.62374;2.02381;2.48688;2.69555;2.85447;3.24166;3.67318;3.87163;4.0298;4.41105;4.82803;5.019973215;5.177345695;5.555023172;5.96329216;6.150643032;6.307302432;6.682539999;7.084874988
0.3;1.203972804;1.43473;1.595;1.98293;2.43922;2.65179;2.81363;3.19055;3.61557;3.81825;3.97969;4.35156;4.76223;4.958571118;5.119428686;5.488264179;5.890361314;6.08221329;6.242512219;6.609285463;7.005550084
0.31;1.171182982;1.40474;1.56715;1.94339;2.39285;2.60921;2.77391;3.14089;3.5594;3.76621;3.93087;4.29362;4.69799;4.898635332;5.062935468;5.423163251;5.819098628;6.015365381;6.179261684;6.537781426;6.927986834
0.32;1.139434283;1.37561;1.54011;1.90507;2.34771;2.56771;2.73523;3.09257;3.50458;3.7154;3.88325;4.23713;4.63521;4.840063788;5.007763412;5.359605535;5.749389091;5.949985181;6.117439395;6.46790557;6.852062638
0.33;1.108662625;1.34728;1.51384;1.86792;2.30371;2.52722;2.69752;3.04552;3.45103;3.66575;3.83673;4.18199;4.57379;4.782753795;4.953818858;5.297486061;5.681127615;5.885968367;6.056943566;6.399546032;6.777665404
0.34;1.078809661;1.31969;1.48828;1.83185;2.26077;2.48767;2.66071;2.99963;3.39865;3.61717;3.79125;4.12812;4.51364;4.726627024;4.90101602;5.236708555;5.614217848;5.823219232;5.997680886;6.332600148;6.704692278
0.35;1.049822124;1.2928;1.46338;1.7968;2.21884;2.449;2.62475;2.95485;3.34738;3.56959;3.74674;4.07543;4.45468;4.67159472;4.849276053;5.177184418;5.548571141;5.761649667;5.939565507;6.266973374;6.633048563
0.36;1.021651248;1.26656;1.43909;1.7627;2.17786;2.41115;2.58956;2.91111;3.29715;3.52295;3.70312;4.02385;4.39683;4.617583826;4.798526246;5.118831845;5.484105668;5.701178277;5.882518183;6.202578347;6.562646773
0.37;0.994252273;1.24092;1.41539;1.72951;2.13776;2.37405;2.55511;2.86833;3.24788;3.47717;3.66034;3.9733;4.34003;4.564525068;4.748699322;5.061575067;5.42074566;5.641729626;5.826465511;6.13933408;6.493405826
0.38;0.967584026;1.21585;1.39223;1.69715;2.0985;2.33768;2.52134;2.82646;3.19954;3.4322;3.61835;3.92372;4.28421;4.51235346;4.699732833;5.005343683;5.358420734;5.583233569;5.771339281;6.077165256;6.425250335
0.39;0.94160854;1.1913;1.36957;1.6656;2.06003;2.30196;2.48821;2.78544;3.15205;3.38799;3.57708;3.87505;4.2293;4.461009057;4.651568631;4.950072079;5.297065314;5.525624672;5.717075901;6.016001612;6.358109983
